orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,common_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,container_no,reference_no,is_extant,n_occs,early_interval,late_interval,taxon_size,extant_size,phylum,class,order,family,genus,type_taxon,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement
263293,263293,txn,,species,Kyrgyzsaurus bukhanchenkoi,,,263293,species,Kyrgyzsaurus bukhanchenkoi,263292,,45813,extinct,1,Ladinian,Carnian,1,0,Chordata,Reptilia,,Drepanosauridae,Kyrgyzsaurus,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
UF7,,txn,,family,NO_FAMILY_SPECIFIED,,,,,,,164344,,,4,,,,,,,,,,,,,,,,,,,,,,,
156148,156148,txn,,genus,Hypuronector,,,156148,genus,Hypuronector,164344,UF7,30920,extinct,4,Norian,,2,0,Chordata,Reptilia,,,Hypuronector,Hypuronector limnaios,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
156151,156151,txn,,species,Hypuronector limnaios,,,156151,species,Hypuronector limnaios,156148,,30920,extinct,2,Norian,,1,0,Chordata,Reptilia,,,Hypuronector,,"freshwater,terrestrial",Hypuronector limnaios,actively mobile,aquatic,,,,,,hydroxyapatite,,,
37795,138855,txn,,unranked clade,Eosuchia,,,37795,unranked clade,Eosuchia,37768,,29651,extant,3590,Artinskian,Cenozoic,13873,3677,Chordata,Reptilia,Eosuchia,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
321572,321572,txn,,unranked clade,Avicephala,,,321572,unranked clade,Avicephala,37795,,55438,extinct,2,Lopingian,Carnian,6,0,Chordata,Reptilia,Eosuchia,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
UF8,,txn,,family,NO_FAMILY_SPECIFIED,,,,,,,321572,,,2,,,,,,,,,,,,,,,,,,,,,,,
197347,197347,txn,,genus,Longisquama,,,197347,genus,Longisquama,321572,UF8,37292,extinct,2,Ladinian,Carnian,2,0,Chordata,Reptilia,Eosuchia,,Longisquama,Longisquama insignis,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
197349,197349,txn,,species,Longisquama insignis,,,197349,species,Longisquama insignis,197347,,37292,extinct,1,Ladinian,Carnian,1,0,Chordata,Reptilia,Eosuchia,,Longisquama,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
92209,92209,txn,,unranked clade,Neodiapsida,,,92209,unranked clade,Neodiapsida,37795,,19680,extant,3588,Artinskian,Cenozoic,13865,3676,Chordata,Reptilia,Eosuchia,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
151359,151359,txn,,unranked clade,Sauria,crown diapsid,,151359,unranked clade,Sauria,92209,,30483,extant,3582,Guadalupian,Cenozoic,13801,3673,Chordata,Reptilia,Eosuchia,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
38182,99802,txn,,unranked clade,Archosauromorpha,archosauromorph,,38182,unranked clade,Archosauromorpha,151359,,4783,extant,3376,Guadalupian,Cenozoic,11031,2623,Chordata,Reptilia,Eosuchia,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
347446,347446,txn,,unranked clade,Crocopoda,,,347446,unranked clade,Crocopoda,38182,,60762,extant,3284,Capitanian,Cenozoic,10937,2622,Chordata,Reptilia,Eosuchia,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
347447,347447,txn,,unranked clade,Allokotosauria,,,347447,unranked clade,Allokotosauria,347446,,65913,,50,Olenekian,Norian,15,0,Chordata,Reptilia,Eosuchia,,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
371615,371615,txn,,family,Azendohsauridae,,,371615,family,Azendohsauridae,347447,,65913,,4,Middle Triassic,Carnian,6,0,Chordata,Reptilia,Eosuchia,Azendohsauridae,,,terrestrial,Diapsida,actively mobile,,,,,,,hydroxyapatite,,,
